date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-03-01,-5.62,2.26,30,"1993-03-01 2022-03-01",81.82,4.11,30,"1993-03-01 2022-03-01",3.96,4.11,30,"1993-03-01 2022-03-01",28.39,3.41,30,"1993-03-01 2022-03-01",-12.27,2.49,30,"1993-03-01 2022-03-01",44.42,9.25,30,"1993-03-01 2022-03-01",-7.72,3.15,30,"1993-03-01 2022-03-01",3.01,1.08,30,"1993-03-01 2022-03-01",17.04,12.23,30,"1993-03-01 2022-03-01",0.93,1.29,30,"1993-03-01 2022-03-01",22.73,15.13,30,"1993-03-01 2022-03-01",3.1,2.98,30,"1993-03-01 2022-03-01",,,,
2023-02-01,-9.17,3.44,30,"1993-02-01 2022-02-01",79.62,4.71,30,"1993-02-01 2022-02-01",-0.55,4.44,30,"1993-02-01 2022-02-01",26.83,3.41,30,"1993-02-01 2022-02-01",-16.11,3.8,30,"1993-02-01 2022-02-01",48.13,6.81,30,"1993-02-01 2022-02-01",-12.16,3.98,30,"1993-02-01 2022-02-01",2.62,1.04,30,"1993-02-01 2022-02-01",13.49,9.93,30,"1993-02-01 2022-02-01",0.1,0.22,30,"1993-02-01 2022-02-01",18.54,12.84,30,"1993-02-01 2022-02-01",4.4,3.37,30,"1993-02-01 2022-02-01",,,,
2023-01-01,-9.55,2.78,30,"1993-01-01 2022-01-01",78.81,3.57,30,"1993-01-01 2022-01-01",-1.17,3.5,30,"1993-01-01 2022-01-01",28.07,4.6,30,"1993-01-01 2022-01-01",-16.95,3.24,30,"1993-01-01 2022-01-01",49.17,5.33,30,"1993-01-01 2022-01-01",-12.96,3.34,30,"1993-01-01 2022-01-01",2.54,1.15,30,"1993-01-01 2022-01-01",10.59,6.86,30,"1993-01-01 2022-01-01",0.17,0.34,30,"1993-01-01 2022-01-01",16.71,9.39,30,"1993-01-01 2022-01-01",5.4,4.53,30,"1993-01-01 2022-01-01",,,,
2022-12-01,-9.31,2.92,30,"1992-12-01 2021-12-01",79.79,4.96,30,"1992-12-01 2021-12-01",-1.07,4.11,30,"1992-12-01 2021-12-01",27.65,4.18,30,"1992-12-01 2021-12-01",-16.33,3.46,30,"1992-12-01 2021-12-01",50.01,6.24,30,"1992-12-01 2021-12-01",-12.5,3.66,30,"1992-12-01 2021-12-01",2.52,0.98,30,"1992-12-01 2021-12-01",14.91,10.63,30,"1992-12-01 2021-12-01",0.33,0.73,30,"1992-12-01 2021-12-01",19.74,12.23,30,"1992-12-01 2021-12-01",5,4.79,30,"1992-12-01 2021-12-01",,,,
2022-11-01,-5.24,2,30,"1992-11-01 2021-11-01",81.61,3.88,30,"1992-11-01 2021-11-01",3.87,3.32,30,"1992-11-01 2021-11-01",27.85,3.16,30,"1992-11-01 2021-11-01",-11.62,2.39,30,"1992-11-01 2021-11-01",47.36,7.89,30,"1992-11-01 2021-11-01",-7.5,2.71,30,"1992-11-01 2021-11-01",2.49,1.04,30,"1992-11-01 2021-11-01",16.63,11.09,30,"1992-11-01 2021-11-01",1.72,2.5,30,"1992-11-01 2021-11-01",19.9,12.3,30,"1992-11-01 2021-11-01",2.4,2.11,30,"1992-11-01 2021-11-01",,,,
2022-10-01,-0.12,1.21,30,"1992-10-01 2021-10-01",80.79,5.37,30,"1992-10-01 2021-10-01",11.3,2.35,30,"1992-10-01 2021-10-01",28.25,2.97,30,"1992-10-01 2021-10-01",-5.92,1.36,30,"1992-10-01 2021-10-01",40.53,6.4,30,"1992-10-01 2021-10-01",-1.17,1.38,30,"1992-10-01 2021-10-01",2.89,1.18,30,"1992-10-01 2021-10-01",19.5,11.93,30,"1992-10-01 2021-10-01",9.6,6.1,30,"1992-10-01 2021-10-01",11.5,10.87,30,"1992-10-01 2021-10-01",1.2,1.71,28,"1992-10-01 2021-10-01",,,,
2022-09-01,5.53,1.07,30,"1992-09-01 2021-09-01",82.34,6,30,"1992-09-01 2021-09-01",18.27,2.57,30,"1992-09-01 2021-09-01",26.73,2.01,30,"1992-09-01 2021-09-01",0.39,1.18,30,"1992-09-01 2021-09-01",39.32,6.76,30,"1992-09-01 2021-09-01",4.79,1.3,30,"1992-09-01 2021-09-01",2.68,1.23,30,"1992-09-01 2021-09-01",36.31,21.43,30,"1992-09-01 2021-09-01",31.65,20.55,30,"1992-09-01 2021-09-01",3.87,8.15,30,"1992-09-01 2021-09-01",0.5,1.85,25,"1992-09-01 2020-09-01",,,,
2022-08-01,10.29,1.24,30,"1992-08-01 2021-08-01",84.77,4.82,30,"1992-08-01 2021-08-01",22.98,1.92,30,"1992-08-01 2021-08-01",26.52,1.63,30,"1992-08-01 2021-08-01",5.03,1.38,30,"1992-08-01 2021-08-01",39.45,6.99,30,"1992-08-01 2021-08-01",9.23,1.15,30,"1992-08-01 2021-08-01",2.25,0.96,30,"1992-08-01 2021-08-01",56.78,27.27,30,"1992-08-01 2021-08-01",56.06,27.44,30,"1992-08-01 2021-08-01",0.03,0.18,30,"1992-08-01 2021-08-01",0,0,20,"1992-08-01 2011-08-01",,,,
2022-07-01,11.95,1.37,30,"1992-07-01 2021-07-01",85.95,4.25,30,"1992-07-01 2021-07-01",23.55,2.01,30,"1992-07-01 2021-07-01",28.3,1.84,30,"1992-07-01 2021-07-01",6.2,1.29,30,"1992-07-01 2021-07-01",41.55,5.79,30,"1992-07-01 2021-07-01",10.37,1.28,30,"1992-07-01 2021-07-01",2.54,0.96,30,"1992-07-01 2021-07-01",67.67,38.96,30,"1992-07-01 2021-07-01",67.06,37.26,30,"1992-07-01 2021-07-01",0,0,30,"1992-07-01 2021-07-01",0,0,22,"1992-07-01 2019-07-01",,,,
2022-06-01,8.79,1.2,30,"1992-06-01 2021-06-01",84.84,5.24,30,"1992-06-01 2021-06-01",19.9,1.56,30,"1992-06-01 2021-06-01",29.21,1.38,30,"1992-06-01 2021-06-01",3.16,1.4,30,"1992-06-01 2021-06-01",42.17,6.72,30,"1992-06-01 2021-06-01",7.81,1.14,30,"1992-06-01 2021-06-01",3.13,1,30,"1992-06-01 2021-06-01",101.94,48.73,30,"1992-06-01 2021-06-01",101.23,48.98,30,"1992-06-01 2021-06-01",0.13,0.68,30,"1992-06-01 2021-06-01",0,0,22,"1992-06-01 2019-06-01",,,,
2022-05-01,3.54,1.28,30,"1992-05-01 2021-05-01",80.65,5.47,30,"1992-05-01 2021-05-01",16.32,2.01,30,"1992-05-01 2021-05-01",30,2.04,30,"1992-05-01 2021-05-01",-2.19,1.53,30,"1992-05-01 2021-05-01",37.58,5.68,30,"1992-05-01 2021-05-01",3.36,1.43,30,"1992-05-01 2021-05-01",3.55,1.03,30,"1992-05-01 2021-05-01",57.34,27.15,30,"1992-05-01 2021-05-01",48.73,27.75,30,"1992-05-01 2021-05-01",9.25,10.31,30,"1992-05-01 2021-05-01",0.5,1.34,27,"1992-05-01 2021-05-01",,,,
2022-04-01,-1.57,1.52,30,"1992-04-01 2021-04-01",80.12,5.06,30,"1992-04-01 2021-04-01",10.62,2.34,30,"1992-04-01 2021-04-01",29.88,2.6,30,"1992-04-01 2021-04-01",-7.6,1.75,30,"1992-04-01 2021-04-01",37.35,6.28,30,"1992-04-01 2021-04-01",-2.03,1.53,30,"1992-04-01 2021-04-01",3.58,0.98,30,"1992-04-01 2021-04-01",29.31,20.6,30,"1992-04-01 2021-04-01",12.08,14.67,30,"1992-04-01 2021-04-01",20.94,16.74,30,"1992-04-01 2021-04-01",1.3,1.44,29,"1992-04-01 2021-04-01",,,,
2022-03-01,-5.58,2.27,30,"1992-03-01 2021-03-01",81.57,4.37,30,"1992-03-01 2021-03-01",4.1,4.26,30,"1992-03-01 2021-03-01",28.2,3.44,30,"1992-03-01 2021-03-01",-12.21,2.53,30,"1992-03-01 2021-03-01",44.29,9.37,30,"1992-03-01 2021-03-01",-7.68,3.18,30,"1992-03-01 2021-03-01",2.96,1.04,30,"1992-03-01 2021-03-01",16.98,12.27,30,"1992-03-01 2021-03-01",0.93,1.29,30,"1992-03-01 2021-03-01",22.72,15.13,30,"1992-03-01 2021-03-01",3.1,3.02,30,"1992-03-01 2021-03-01",,,,
2022-02-01,-9.13,3.46,30,"1992-02-01 2021-02-01",79.65,4.69,30,"1992-02-01 2021-02-01",-0.45,4.51,30,"1992-02-01 2021-02-01",26.63,3.36,30,"1992-02-01 2021-02-01",-16.04,3.82,30,"1992-02-01 2021-02-01",48.24,6.75,30,"1992-02-01 2021-02-01",-12.14,3.99,30,"1992-02-01 2021-02-01",2.59,1.01,30,"1992-02-01 2021-02-01",12.8,9.88,30,"1992-02-01 2021-02-01",0.1,0.22,30,"1992-02-01 2021-02-01",17.72,12.71,30,"1992-02-01 2021-02-01",4.3,3.43,30,"1992-02-01 2021-02-01",,,,
