date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-03-01,-3.71,1.92,30,"1993-03-01 2022-03-01",81.98,5.42,30,"1993-03-01 2022-03-01",2.72,2.26,30,"1993-03-01 2022-03-01",28.71,2.91,30,"1993-03-01 2022-03-01",-11.22,2.51,30,"1993-03-01 2022-03-01",49.88,5.02,30,"1993-03-01 2022-03-01",-6.18,2.28,30,"1993-03-01 2022-03-01",5.62,1.21,30,"1993-03-01 2022-03-01",76.32,30.19,30,"1993-03-01 2022-03-01",36.09,27.1,30,"1993-03-01 2022-03-01",36.02,25.11,30,"1993-03-01 2022-03-01",9,8.57,30,"1993-03-01 2022-03-01",,,,
2023-02-01,-8.05,2.92,30,"1993-02-01 2022-02-01",82.57,4.59,30,"1993-02-01 2022-02-01",-3.27,2.57,30,"1993-02-01 2022-02-01",29.3,3.66,30,"1993-02-01 2022-02-01",-16.39,3.35,30,"1993-02-01 2022-02-01",55.61,3.86,30,"1993-02-01 2022-02-01",-12.12,2.87,30,"1993-02-01 2022-02-01",5.52,1.66,30,"1993-02-01 2022-02-01",69.33,22.75,30,"1993-02-01 2022-02-01",19.51,18.28,30,"1993-02-01 2022-02-01",48.03,19.27,30,"1993-02-01 2022-02-01",13.7,9.13,30,"1993-02-01 2022-02-01",,,,
2023-01-01,-8.73,3.14,30,"1993-01-01 2022-01-01",84.16,3.66,30,"1993-01-01 2022-01-01",-4.85,2.77,30,"1993-01-01 2022-01-01",29.21,3.11,30,"1993-01-01 2022-01-01",-17.15,3.95,30,"1993-01-01 2022-01-01",60.74,4.71,30,"1993-01-01 2022-01-01",-13.28,3.43,30,"1993-01-01 2022-01-01",5.75,1.65,30,"1993-01-01 2022-01-01",81.4,36.11,30,"1993-01-01 2022-01-01",30.01,23.27,30,"1993-01-01 2022-01-01",50.65,19.16,30,"1993-01-01 2022-01-01",10.4,5.18,30,"1993-01-01 2022-01-01",,,,
2022-12-01,-4.27,2.46,30,"1992-12-01 2021-12-01",87.86,3.02,30,"1992-12-01 2021-12-01",-0.85,2.46,30,"1992-12-01 2021-12-01",28.24,3,30,"1992-12-01 2021-12-01",-11.52,2.8,30,"1992-12-01 2021-12-01",64.64,3.62,30,"1992-12-01 2021-12-01",-8.22,2.71,30,"1992-12-01 2021-12-01",5.88,1.17,30,"1992-12-01 2021-12-01",93.53,35.36,30,"1992-12-01 2021-12-01",43.7,27.01,30,"1992-12-01 2021-12-01",48.32,27.11,30,"1992-12-01 2021-12-01",6.2,5.53,30,"1992-12-01 2021-12-01",,,,
2022-11-01,1.47,1.72,30,"1992-11-01 2021-11-01",88.33,3.08,30,"1992-11-01 2021-11-01",6.08,2.03,30,"1992-11-01 2021-11-01",27.52,3.42,30,"1992-11-01 2021-11-01",-5.03,1.9,30,"1992-11-01 2021-11-01",59.51,4.91,30,"1992-11-01 2021-11-01",-1.63,1.75,30,"1992-11-01 2021-11-01",5.65,1.43,30,"1992-11-01 2021-11-01",82.94,31.43,30,"1992-11-01 2021-11-01",66.86,29.15,30,"1992-11-01 2021-11-01",15.19,15.31,30,"1992-11-01 2021-11-01",1,1.12,30,"1992-11-01 2021-11-01",,,,
2022-10-01,7.46,1.65,30,"1992-10-01 2021-10-01",89.31,2.34,30,"1992-10-01 2021-10-01",13.46,1.79,30,"1992-10-01 2021-10-01",26.58,2.71,30,"1992-10-01 2021-10-01",1.53,2,30,"1992-10-01 2021-10-01",56,3.41,30,"1992-10-01 2021-10-01",4.74,1.71,30,"1992-10-01 2021-10-01",5.26,1.13,30,"1992-10-01 2021-10-01",105.53,51.8,30,"1992-10-01 2021-10-01",103.8,53.07,30,"1992-10-01 2021-10-01",0.87,2.48,30,"1992-10-01 2021-10-01",0,0.06,22,"1992-10-01 2018-10-01",,,,
2022-09-01,13.97,1.08,30,"1992-09-01 2021-09-01",90.39,2.16,30,"1992-09-01 2021-09-01",21.34,1.46,30,"1992-09-01 2021-09-01",24.24,1.97,30,"1992-09-01 2021-09-01",8.36,1.35,30,"1992-09-01 2021-09-01",53.65,3.28,30,"1992-09-01 2021-09-01",11.13,1.46,30,"1992-09-01 2021-09-01",3.95,1.08,30,"1992-09-01 2021-09-01",85.04,34.29,30,"1992-09-01 2021-09-01",85.04,34.29,30,"1992-09-01 2021-09-01",0,0,30,"1992-09-01 2021-09-01",0,0,20,"1992-09-01 2012-09-01",,,,
2022-08-01,17.33,0.98,30,"1992-08-01 2021-08-01",88.91,2.52,30,"1992-08-01 2021-08-01",25.74,1.34,30,"1992-08-01 2021-08-01",24.14,2.91,30,"1992-08-01 2021-08-01",12.42,1.1,30,"1992-08-01 2021-08-01",51.57,3.75,30,"1992-08-01 2021-08-01",15.68,1.3,30,"1992-08-01 2021-08-01",3.84,1.33,30,"1992-08-01 2021-08-01",91.15,45.02,30,"1992-08-01 2021-08-01",90.8,45.09,30,"1992-08-01 2021-08-01",0,0,30,"1992-08-01 2021-08-01",0,0,21,"1992-08-01 2012-08-01",,,,
2022-07-01,17.8,0.99,30,"1992-07-01 2021-07-01",87.3,2.88,30,"1992-07-01 2021-07-01",26.56,1.49,30,"1992-07-01 2021-07-01",24.97,2.22,30,"1992-07-01 2021-07-01",12.9,0.9,30,"1992-07-01 2021-07-01",50.53,3.89,30,"1992-07-01 2021-07-01",16.69,1.09,30,"1992-07-01 2021-07-01",4.12,1.04,30,"1992-07-01 2021-07-01",91.53,30.84,30,"1992-07-01 2021-07-01",90.43,31.22,30,"1992-07-01 2021-07-01",0,0,30,"1992-07-01 2021-07-01",0,0,21,"1992-07-01 2012-07-01",,,,
2022-06-01,15.04,1.12,30,"1992-06-01 2021-06-01",85.92,3.99,30,"1992-06-01 2021-06-01",24.23,1.38,30,"1992-06-01 2021-06-01",25.83,2.29,30,"1992-06-01 2021-06-01",9.38,1.28,30,"1992-06-01 2021-06-01",48.05,4.92,30,"1992-06-01 2021-06-01",13.88,1.12,30,"1992-06-01 2021-06-01",4.23,1.16,30,"1992-06-01 2021-06-01",93.21,32.6,30,"1992-06-01 2021-06-01",91.82,31.36,30,"1992-06-01 2021-06-01",0,0,30,"1992-06-01 2021-06-01",0,0,21,"1992-06-01 2012-06-01",,,,
