date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-03-01,-5.63,2.54,30,"1993-03-01 2022-03-01",87.84,2.39,30,"1993-03-01 2022-03-01",1.25,2.69,30,"1993-03-01 2022-03-01",23.28,2.46,30,"1993-03-01 2022-03-01",-14.12,3.06,30,"1993-03-01 2022-03-01",49.06,3.97,30,"1993-03-01 2022-03-01",-11.36,2.96,30,"1993-03-01 2022-03-01",2.86,0.79,30,"1993-03-01 2022-03-01",25.9,14.43,30,"1993-03-01 2022-03-01",10.82,10.82,22,"1993-03-01 2022-03-01",20.1,14.91,22,"1993-03-01 2022-03-01",35.1,23.73,21,"1993-03-01 2022-03-01",404179,72716.58,8,"2015-03-01 2022-03-01"
2023-02-01,-11.22,3.5,30,"1993-02-01 2022-02-01",85.51,3.48,30,"1993-02-01 2022-02-01",-5.49,3.23,30,"1993-02-01 2022-02-01",22.61,2.21,30,"1993-02-01 2022-02-01",-21.55,4.22,30,"1993-02-01 2022-02-01",53.34,5.04,30,"1993-02-01 2022-02-01",-18.78,4.09,30,"1993-02-01 2022-02-01",3.25,1.21,30,"1993-02-01 2022-02-01",12.8,10.09,30,"1993-02-01 2022-02-01",1.27,3.17,23,"1993-02-01 2022-02-01",25.23,19.55,23,"1993-02-01 2022-02-01",42.7,23.03,23,"1993-02-01 2022-02-01",243160,47654.96,8,"2015-02-01 2022-02-01"
2023-01-01,-11.97,3.52,30,"1993-01-01 2022-01-01",85.97,4.14,30,"1993-01-01 2022-01-01",-7.74,3.07,30,"1993-01-01 2022-01-01",22.28,1.71,30,"1993-01-01 2022-01-01",-22.18,4.59,30,"1993-01-01 2022-01-01",60.98,5.46,30,"1993-01-01 2022-01-01",-19.55,4.11,30,"1993-01-01 2022-01-01",3.58,0.9,30,"1993-01-01 2022-01-01",22.58,13.09,30,"1993-01-01 2022-01-01",2.3,3.88,23,"1993-01-01 2022-01-01",30.96,15.95,23,"1993-01-01 2022-01-01",30.4,17.03,21,"1993-01-01 2022-01-01",138548,23077.88,8,"2015-01-01 2022-01-01"
2022-12-01,-8.08,3.04,30,"1992-12-01 2021-12-01",88.96,3.19,30,"1992-12-01 2021-12-01",-4.44,2.93,30,"1992-12-01 2021-12-01",22.25,2.43,30,"1992-12-01 2021-12-01",-16.75,4.05,30,"1992-12-01 2021-12-01",65.16,4.44,30,"1992-12-01 2021-12-01",-14.46,3.76,30,"1992-12-01 2021-12-01",3.55,1,30,"1992-12-01 2021-12-01",30.25,19.28,30,"1992-12-01 2021-12-01",8.53,13.82,22,"1992-12-01 2021-12-01",36.73,21.18,22,"1992-12-01 2021-12-01",14.3,8.82,23,"1992-12-01 2021-12-01",100687,22859.33,8,"2014-12-01 2021-12-01"
2022-11-01,-2.01,2.36,30,"1992-11-01 2021-11-01",91.3,2.6,30,"1992-11-01 2021-11-01",2.72,2.87,30,"1992-11-01 2021-11-01",23.35,2.57,30,"1992-11-01 2021-11-01",-8.99,2.77,30,"1992-11-01 2021-11-01",60.91,4.27,30,"1992-11-01 2021-11-01",-6.66,2.48,30,"1992-11-01 2021-11-01",3.25,0.8,30,"1992-11-01 2021-11-01",42.72,29.12,30,"1992-11-01 2021-11-01",25.7,29.99,24,"1992-11-01 2021-11-01",20.47,11.15,23,"1992-11-01 2021-11-01",3,3.21,23,"1992-11-01 2021-11-01",121555,27923.49,8,"2014-11-01 2021-11-01"
2022-10-01,4.88,1.86,30,"1992-10-01 2021-10-01",93.91,4.01,30,"1992-10-01 2021-10-01",10.92,1.95,30,"1992-10-01 2021-10-01",23.59,2.47,30,"1992-10-01 2021-10-01",-1.69,2.21,30,"1992-10-01 2021-10-01",57.05,5.86,30,"1992-10-01 2021-10-01",-0.04,1.81,30,"1992-10-01 2021-10-01",2.88,0.93,30,"1992-10-01 2021-10-01",70.67,35.11,30,"1992-10-01 2021-10-01",47.54,30.2,22,"1992-10-01 2021-10-01",7.4,11.15,21,"1992-10-01 2021-10-01",0.5,0.98,22,"1992-10-01 2021-10-01",212587,41106.86,8,"2014-10-01 2021-10-01"
2022-09-01,11.96,1.57,30,"1992-09-01 2021-09-01",96.75,2.59,30,"1992-09-01 2021-09-01",19.04,1.58,30,"1992-09-01 2021-09-01",22.28,1.78,30,"1992-09-01 2021-09-01",5.12,1.86,30,"1992-09-01 2021-09-01",55.75,4.72,30,"1992-09-01 2021-09-01",5.75,1.6,30,"1992-09-01 2021-09-01",1.88,0.79,30,"1992-09-01 2021-09-01",67.88,29.57,30,"1992-09-01 2021-09-01",77.62,29.3,13,"1992-09-01 2021-09-01",0.59,1.35,13,"1992-09-01 2021-09-01",0,0,14,"1992-09-01 2021-09-01",354793,58966.42,8,"2014-09-01 2021-09-01"
2022-08-01,15.68,1.06,30,"1992-08-01 2021-08-01",96.62,2.08,30,"1992-08-01 2021-08-01",23.98,1.45,30,"1992-08-01 2021-08-01",21.71,1.95,30,"1992-08-01 2021-08-01",9.39,1.21,30,"1992-08-01 2021-08-01",52.46,4.46,30,"1992-08-01 2021-08-01",10.17,1.2,30,"1992-08-01 2021-08-01",1.91,0.83,30,"1992-08-01 2021-08-01",68.69,25.09,30,"1992-08-01 2021-08-01",69.47,17.91,13,"1992-08-01 2021-08-01",0,0,13,"1992-08-01 2021-08-01",0,0,14,"1992-08-01 2021-08-01",495189,110498.89,8,"2014-08-01 2021-08-01"
2022-07-01,15.86,1.24,30,"1992-07-01 2021-07-01",95.94,2.17,30,"1992-07-01 2021-07-01",24.68,1.78,30,"1992-07-01 2021-07-01",22.42,1.66,30,"1992-07-01 2021-07-01",9.99,1.19,30,"1992-07-01 2021-07-01",51.42,4.59,30,"1992-07-01 2021-07-01",11.05,1.15,30,"1992-07-01 2021-07-01",1.91,0.71,30,"1992-07-01 2021-07-01",80.92,40.53,30,"1992-07-01 2021-07-01",77.08,49.93,13,"1992-07-01 2021-07-01",0,0,13,"1992-07-01 2021-07-01",0,0,14,"1992-07-01 2021-07-01",616384,172596.91,8,"2014-07-01 2021-07-01"
2022-06-01,12.35,1.3,30,"1992-06-01 2021-06-01",95.19,2.39,30,"1992-06-01 2021-06-01",21.45,1.45,30,"1992-06-01 2021-06-01",23.54,1.54,30,"1992-06-01 2021-06-01",6.4,1.19,30,"1992-06-01 2021-06-01",49.73,3.83,30,"1992-06-01 2021-06-01",7.78,1.12,30,"1992-06-01 2021-06-01",2,0.7,30,"1992-06-01 2021-06-01",82.78,44.53,30,"1992-06-01 2021-06-01",74.67,39.75,13,"1992-06-01 2021-06-01",0,0,13,"1992-06-01 2021-06-01",0.3,1,15,"1992-06-01 2021-06-01",652958,47804.12,7,"2015-06-01 2021-06-01"
2022-05-01,5.71,1.56,30,"1992-05-01 2021-05-01",91.69,3.44,30,"1992-05-01 2021-05-01",16.09,1.64,30,"1992-05-01 2021-05-01",25.77,1.09,30,"1992-05-01 2021-05-01",-0.66,1.57,30,"1992-05-01 2021-05-01",43.47,4.7,30,"1992-05-01 2021-05-01",1.94,1.41,30,"1992-05-01 2021-05-01",2.35,0.8,30,"1992-05-01 2021-05-01",73.9,36.98,30,"1992-05-01 2021-05-01",63.42,21.77,12,"1992-05-01 2021-05-01",1.25,2.21,12,"1992-05-01 2021-05-01",0.5,1.32,17,"1992-05-01 2021-05-01",594372,45950.94,7,"2015-05-01 2021-05-01"
