date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-03-01,-1.62,2.23,30,"1993-03-01 2022-03-01",82.66,4.53,30,"1993-03-01 2022-03-01",5,2.6,30,"1993-03-01 2022-03-01",30.74,2.39,30,"1993-03-01 2022-03-01",-8.88,2.31,30,"1993-03-01 2022-03-01",50.74,5.58,30,"1993-03-01 2022-03-01",-3.95,2.2,30,"1993-03-01 2022-03-01",6.07,1.5,30,"1993-03-01 2022-03-01",48.66,21.87,30,"1993-03-01 2022-03-01",33,21.84,30,"1993-03-01 2022-03-01",16.36,11.94,30,"1993-03-01 2022-03-01",3.1,3.1,30,"1993-03-01 2022-03-01",,,,
2023-02-01,-4.93,2.35,30,"1993-02-01 2022-02-01",84.51,2.86,30,"1993-02-01 2022-02-01",-0.34,2.67,30,"1993-02-01 2022-02-01",31.23,3.07,30,"1993-02-01 2022-02-01",-12.43,2.96,30,"1993-02-01 2022-02-01",58.39,3.24,30,"1993-02-01 2022-02-01",-8.54,3.01,30,"1993-02-01 2022-02-01",6.25,1.68,30,"1993-02-01 2022-02-01",51.68,24.87,30,"1993-02-01 2022-02-01",24.48,18.49,30,"1993-02-01 2022-02-01",29.23,17.25,30,"1993-02-01 2022-02-01",6.5,5.36,30,"1993-02-01 2022-02-01",,,,
2023-01-01,-4.8,2.65,30,"1993-01-01 2022-01-01",86.65,3.33,30,"1993-01-01 2022-01-01",-1.16,2.55,30,"1993-01-01 2022-01-01",30.63,2.32,30,"1993-01-01 2022-01-01",-12.55,3.74,30,"1993-01-01 2022-01-01",62.1,4.4,30,"1993-01-01 2022-01-01",-8.92,3.5,30,"1993-01-01 2022-01-01",6.49,1.31,30,"1993-01-01 2022-01-01",59.48,27.3,30,"1993-01-01 2022-01-01",33.07,27.43,30,"1993-01-01 2022-01-01",29.65,17.66,30,"1993-01-01 2022-01-01",5.6,5.76,30,"1993-01-01 2022-01-01",,,,
2022-12-01,-1.64,2.2,30,"1992-12-01 2021-12-01",88.25,2.54,30,"1992-12-01 2021-12-01",2.06,2.36,30,"1992-12-01 2021-12-01",29.6,3.07,30,"1992-12-01 2021-12-01",-8.11,2.45,30,"1992-12-01 2021-12-01",63.45,3.15,30,"1992-12-01 2021-12-01",-4.68,2.49,30,"1992-12-01 2021-12-01",6.16,1.83,30,"1992-12-01 2021-12-01",57.31,20.99,30,"1992-12-01 2021-12-01",34.37,16.81,30,"1992-12-01 2021-12-01",23.93,16.63,30,"1992-12-01 2021-12-01",2.9,2.94,30,"1992-12-01 2021-12-01",,,,
2022-11-01,3.07,1.69,30,"1992-11-01 2021-11-01",88.75,3.4,30,"1992-11-01 2021-11-01",7.87,2.22,30,"1992-11-01 2021-11-01",28.6,3.11,30,"1992-11-01 2021-11-01",-3.22,1.75,30,"1992-11-01 2021-11-01",59.76,4.1,30,"1992-11-01 2021-11-01",0.18,1.56,30,"1992-11-01 2021-11-01",5.47,1.53,30,"1992-11-01 2021-11-01",65.26,31.03,30,"1992-11-01 2021-11-01",56.88,29.33,30,"1992-11-01 2021-11-01",8.39,8.54,30,"1992-11-01 2021-11-01",0.9,1.5,30,"1992-11-01 2021-11-01",,,,
2022-10-01,8.72,1.43,30,"1992-10-01 2021-10-01",89.87,2.95,30,"1992-10-01 2021-10-01",14.79,1.49,30,"1992-10-01 2021-10-01",27.28,2.5,30,"1992-10-01 2021-10-01",2.62,1.85,30,"1992-10-01 2021-10-01",56.29,4.25,30,"1992-10-01 2021-10-01",5.64,1.7,30,"1992-10-01 2021-10-01",4.73,1.35,30,"1992-10-01 2021-10-01",66.21,33.44,30,"1992-10-01 2021-10-01",65.91,33.55,30,"1992-10-01 2021-10-01",0.25,0.68,30,"1992-10-01 2021-10-01",0,0,22,"1992-10-01 2018-10-01",,,,
2022-09-01,14.54,1.16,30,"1992-09-01 2021-09-01",89.42,3.12,30,"1992-09-01 2021-09-01",22.34,1.67,30,"1992-09-01 2021-09-01",25.28,1.95,30,"1992-09-01 2021-09-01",8.77,1.32,30,"1992-09-01 2021-09-01",52.27,4.25,30,"1992-09-01 2021-09-01",11.84,1.65,30,"1992-09-01 2021-09-01",3.65,1.15,30,"1992-09-01 2021-09-01",70.22,35.17,30,"1992-09-01 2021-09-01",70.22,35.17,30,"1992-09-01 2021-09-01",0,0,30,"1992-09-01 2021-09-01",0,0,21,"1992-09-01 2012-09-01",,,,
2022-08-01,17.52,1.15,30,"1992-08-01 2021-08-01",87.63,3.42,30,"1992-08-01 2021-08-01",26.47,1.56,30,"1992-08-01 2021-08-01",24.58,2.28,30,"1992-08-01 2021-08-01",12.31,1.15,30,"1992-08-01 2021-08-01",49.84,3.93,30,"1992-08-01 2021-08-01",16.01,1.46,30,"1992-08-01 2021-08-01",3.52,1.44,30,"1992-08-01 2021-08-01",67.68,36.31,30,"1992-08-01 2021-08-01",67.68,36.31,30,"1992-08-01 2021-08-01",0,0,30,"1992-08-01 2021-08-01",0,0,21,"1992-08-01 2012-08-01",,,,
2022-07-01,17.6,1.32,30,"1992-07-01 2021-07-01",85.13,3.9,30,"1992-07-01 2021-07-01",27.34,1.92,30,"1992-07-01 2021-07-01",25.88,1.9,30,"1992-07-01 2021-07-01",12.15,1.23,30,"1992-07-01 2021-07-01",47.73,4.6,30,"1992-07-01 2021-07-01",16.68,1.57,30,"1992-07-01 2021-07-01",3.77,1.21,30,"1992-07-01 2021-07-01",76.14,42.92,30,"1992-07-01 2021-07-01",76.14,42.92,30,"1992-07-01 2021-07-01",0,0,30,"1992-07-01 2021-07-01",0,0,21,"1992-07-01 2012-07-01",,,,
2022-06-01,15.08,1.19,30,"1992-06-01 2021-06-01",84.7,4.52,30,"1992-06-01 2021-06-01",24.56,1.46,30,"1992-06-01 2021-06-01",26.32,2.23,30,"1992-06-01 2021-06-01",9.16,1.44,30,"1992-06-01 2021-06-01",48.47,5.06,30,"1992-06-01 2021-06-01",13.94,1.31,30,"1992-06-01 2021-06-01",3.8,1.45,30,"1992-06-01 2021-06-01",79.94,40.29,30,"1992-06-01 2021-06-01",79.94,40.29,30,"1992-06-01 2021-06-01",0,0,30,"1992-06-01 2021-06-01",0,0,22,"1992-06-01 2013-06-01",,,,
