date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-03-01,-5.52,3.19,30,"1993-03-01 2022-03-01",87.99,5.12,30,"1993-03-01 2022-03-01",-0.86,3.75,30,"1993-03-01 2022-03-01",30.97,2.8,30,"1993-03-01 2022-03-01",-13.79,3.9,30,"1993-03-01 2022-03-01",61.83,6.55,30,"1993-03-01 2022-03-01",-11.39,3.81,30,"1993-03-01 2022-03-01",7.2,1.28,30,"1993-03-01 2022-03-01",25.03,29.67,30,"1993-03-01 2022-03-01",10.43,11.86,30,"1993-03-01 2022-03-01",14.46,11.31,30,"1993-03-01 2022-03-01",15.6,13.47,29,"1993-03-01 2022-03-01",,,,
2023-02-01,-13.29,4.1,30,"1993-02-01 2022-02-01",83.92,6.26,30,"1993-02-01 2022-02-01",-9.46,3.59,30,"1993-02-01 2022-02-01",29.65,3.13,30,"1993-02-01 2022-02-01",-22.71,4.87,30,"1993-02-01 2022-02-01",65.67,5.45,30,"1993-02-01 2022-02-01",-20,4.29,30,"1993-02-01 2022-02-01",7.02,1.63,30,"1993-02-01 2022-02-01",10.48,8.88,30,"1993-02-01 2022-02-01",1.94,5.17,30,"1993-02-01 2022-02-01",14.44,10.97,30,"1993-02-01 2022-02-01",21.5,12.19,29,"1993-02-01 2022-02-01",,,,
2023-01-01,-14.77,3.73,30,"1993-01-01 2022-01-01",83.5,4.63,30,"1993-01-01 2022-01-01",-11.47,3.39,30,"1993-01-01 2022-01-01",30.08,3.26,30,"1993-01-01 2022-01-01",-24.01,4.41,30,"1993-01-01 2022-01-01",68.33,4.65,30,"1993-01-01 2022-01-01",-21.28,4.03,30,"1993-01-01 2022-01-01",6.82,1.01,30,"1993-01-01 2022-01-01",14.43,10,30,"1993-01-01 2022-01-01",0.28,0.84,30,"1993-01-01 2022-01-01",23.48,12.89,30,"1993-01-01 2022-01-01",18.4,12.69,28,"1993-01-01 2022-01-01",,,,
2022-12-01,-11.3,3.94,30,"1992-12-01 2021-12-01",87.08,4.42,30,"1992-12-01 2021-12-01",-8.35,3.84,30,"1992-12-01 2021-12-01",29.24,1.98,30,"1992-12-01 2021-12-01",-19.57,4.47,30,"1992-12-01 2021-12-01",71.56,4.5,30,"1992-12-01 2021-12-01",-17.42,4.22,30,"1992-12-01 2021-12-01",7.09,1.21,30,"1992-12-01 2021-12-01",17.24,10.47,30,"1992-12-01 2021-12-01",0.87,1.66,30,"1992-12-01 2021-12-01",26.38,14.55,30,"1992-12-01 2021-12-01",10.6,9.46,29,"1992-12-01 2021-12-01",,,,
2022-11-01,-3.78,2.8,30,"1992-11-01 2021-11-01",90.46,3.58,30,"1992-11-01 2021-11-01",0.13,3.56,30,"1992-11-01 2021-11-01",30.34,2.32,30,"1992-11-01 2021-11-01",-10.62,3.33,30,"1992-11-01 2021-11-01",67.82,6.7,30,"1992-11-01 2021-11-01",-8.76,3.16,30,"1992-11-01 2021-11-01",7.63,0.96,30,"1992-11-01 2021-11-01",20.57,16.77,30,"1992-11-01 2021-11-01",5.55,11.01,30,"1992-11-01 2021-11-01",19.12,15.07,30,"1992-11-01 2021-11-01",3.6,4.74,29,"1992-11-01 2021-11-01",,,,
2022-10-01,3.95,2.08,30,"1992-10-01 2021-10-01",90.82,3.59,30,"1992-10-01 2021-10-01",10.5,2.43,30,"1992-10-01 2021-10-01",30.73,2.69,30,"1992-10-01 2021-10-01",-2.18,2.36,30,"1992-10-01 2021-10-01",56.37,6.15,30,"1992-10-01 2021-10-01",-0.08,2,30,"1992-10-01 2021-10-01",7.17,1.67,30,"1992-10-01 2021-10-01",35.64,21.04,30,"1992-10-01 2021-10-01",30.27,26.52,28,"1992-10-01 2021-10-01",4.37,7.9,28,"1992-10-01 2021-10-01",0.2,0.37,29,"1992-10-01 2021-10-01",,,,
2022-09-01,11.07,1.5,30,"1992-09-01 2021-09-01",91.96,2.93,30,"1992-09-01 2021-09-01",19.63,1.89,30,"1992-09-01 2021-09-01",29.62,2.1,30,"1992-09-01 2021-09-01",4.86,1.83,30,"1992-09-01 2021-09-01",49.79,4.77,30,"1992-09-01 2021-09-01",6.86,1.62,30,"1992-09-01 2021-09-01",6.34,1.23,30,"1992-09-01 2021-09-01",51.12,34.99,30,"1992-09-01 2021-09-01",41.23,18.6,18,"1992-09-01 2021-09-01",0.03,0.14,18,"1992-09-01 2021-09-01",0.1,0.37,19,"1992-09-01 2021-09-01",,,,
2022-08-01,15.8,1.01,30,"1992-08-01 2021-08-01",93.1,2.54,30,"1992-08-01 2021-08-01",25.16,1.76,30,"1992-08-01 2021-08-01",27.54,2.27,30,"1992-08-01 2021-08-01",9.99,1.14,30,"1992-08-01 2021-08-01",48.04,5.7,30,"1992-08-01 2021-08-01",11.77,1.19,30,"1992-08-01 2021-08-01",5.44,1,30,"1992-08-01 2021-08-01",75.63,34.72,30,"1992-08-01 2021-08-01",84.18,31.76,17,"1992-08-01 2021-08-01",0,0,17,"1992-08-01 2021-08-01",0,0.05,17,"1992-08-01 2021-08-01",,,,
2022-07-01,17.04,1.1,30,"1992-07-01 2021-07-01",93.03,2.55,30,"1992-07-01 2021-07-01",25.76,1.91,30,"1992-07-01 2021-07-01",26.44,1.63,30,"1992-07-01 2021-07-01",11.4,1.04,30,"1992-07-01 2021-07-01",50.61,5.47,30,"1992-07-01 2021-07-01",13.02,1.16,30,"1992-07-01 2021-07-01",4.88,1.11,30,"1992-07-01 2021-07-01",73.5,44.99,30,"1992-07-01 2021-07-01",85.41,51.15,17,"1992-07-01 2021-07-01",0,0,17,"1992-07-01 2021-07-01",0,0,17,"1992-07-01 2021-07-01",,,,
2022-06-01,13.91,1.3,30,"1992-06-01 2021-06-01",90.37,3.41,30,"1992-06-01 2021-06-01",23.24,1.96,30,"1992-06-01 2021-06-01",29.27,2.29,30,"1992-06-01 2021-06-01",7.97,1.44,30,"1992-06-01 2021-06-01",47.93,6.38,30,"1992-06-01 2021-06-01",10.69,1.35,30,"1992-06-01 2021-06-01",5.77,1.2,30,"1992-06-01 2021-06-01",73.17,35.76,30,"1992-06-01 2021-06-01",73.41,39,17,"1992-06-01 2021-06-01",0,0,17,"1992-06-01 2021-06-01",0,0,18,"1992-06-01 2021-06-01",,,,
