x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.1,1996-03-01 00:00:00,AB,1996,3,1,-0.4,,-2.9,,2.1,,0,,0,,0,,20,,,,,,0,,18.4,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.2,1996-03-02 00:00:00,AB,1996,3,2,-3.9,,-8.1,,0.4,,1,,0,,1,,20,,,,,,0,,21.9,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.3,1996-03-03 00:00:00,AB,1996,3,3,-13.1,,-18.1,,-8.1,,0,,0,,0,,20,,,,,,0,,31.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.4,1996-03-04 00:00:00,AB,1996,3,4,-18.3,,-21.1,,-15.4,,0,,0,,0,,20,,,,,,0,,36.3,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.5,1996-03-05 00:00:00,AB,1996,3,5,-17.3,,-23.1,,-11.5,,0,,0,,0,,19,,,,,,0,,35.3,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.6,1996-03-06 00:00:00,AB,1996,3,6,-19.1,,-22,,-16.2,,0,,0,,0,,19,,,,,,0,,37.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.7,1996-03-07 00:00:00,AB,1996,3,7,-20.1,,-25.5,,-14.7,,0,,0,,0,,19,,,,,,0,,38.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.8,1996-03-08 00:00:00,AB,1996,3,8,-14.8,,-21.8,,-7.8,,0,,0,,0,,20,,,,,,0,,32.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.9,1996-03-09 00:00:00,AB,1996,3,9,-5,,-11.5,,1.6,,0,,0,,0,,19,,,,,,0,,23,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.10,1996-03-10 00:00:00,AB,1996,3,10,5.9,,-2.2,,14,,0,,0,,0,,19,,,,,,0,,12.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.11,1996-03-11 00:00:00,AB,1996,3,11,6.4,,-0.1,,12.9,,0,,0,,0,,16,,,,,,0,,11.6,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.12,1996-03-12 00:00:00,AB,1996,3,12,3.7,,-1.2,,8.6,,0,,0,,0,,14,,,,,,0,,14.3,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.13,1996-03-13 00:00:00,AB,1996,3,13,-0.2,,-3.3,,2.9,,0,,0,,0,,11,,,,,,0,,18.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.14,1996-03-14 00:00:00,AB,1996,3,14,7,,2.9,,11.1,,0,,0,,0,,9,,,,,,0,,11,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.15,1996-03-15 00:00:00,AB,1996,3,15,3,,-1.5,,7.4,,0,,0,,0,,2,,,,,,0,,15,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.16,1996-03-16 00:00:00,AB,1996,3,16,-0.7,,-5.6,,4.3,,0,,0,,0,,,M,,,,,0,,18.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.17,1996-03-17 00:00:00,AB,1996,3,17,4.9,,1.4,,8.3,,0,,0,,0,,,M,,,,,0,,13.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.18,1996-03-18 00:00:00,AB,1996,3,18,-0.1,,-3.4,,3.2,,0,,0,,0,,,M,,,,,0,,18.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.19,1996-03-19 00:00:00,AB,1996,3,19,1.9,,-1.3,,5.1,,0,,0,,0,,,M,,,,,0,,16.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.20,1996-03-20 00:00:00,AB,1996,3,20,-4.8,,-9.6,,0,,0,,0,,0,,,M,,,,,0,,22.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.21,1996-03-21 00:00:00,AB,1996,3,21,-10.3,,-11.9,,-8.7,,3,E,0,,3,E,,M,,,,,0,,28.3,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.22,1996-03-22 00:00:00,AB,1996,3,22,-13.7,,-16.5,,-10.9,,3.5,,0,,3.5,,1,,,,,,0,,31.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.23,1996-03-23 00:00:00,AB,1996,3,23,-18.3,,-21.7,,-14.9,,0,,0,,0,,2,,,,,,0,,36.3,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.24,1996-03-24 00:00:00,AB,1996,3,24,-14.1,,-22.1,,-6,,0,,0,,0,,1,,,,,,0,,32.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.25,1996-03-25 00:00:00,AB,1996,3,25,-6.8,,-15.4,,1.8,,2,E,0,,2,E,1,,,,,,0,,24.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.26,1996-03-26 00:00:00,AB,1996,3,26,-8.1,,-12.2,,-3.9,,0,,0,,0,,,M,,,,,0,,26.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.27,1996-03-27 00:00:00,AB,1996,3,27,-10.5,,-15.4,,-5.5,,0,,0,,0,,,M,,,,,0,,28.5,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.28,1996-03-28 00:00:00,AB,1996,3,28,-7.5,,-12.8,,-2.2,,0,,0,,0,,,M,,,,,0,,25.5,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.29,1996-03-29 00:00:00,AB,1996,3,29,-8.5,,-10.7,,-6.2,,1,E,0,,1,E,,M,,,,,0,,26.5,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.30,1996-03-30 00:00:00,AB,1996,3,30,-8.5,,-12.2,,-4.7,,0,,0,,0,,,M,,,,,0,,26.5,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.3.31,1996-03-31 00:00:00,AB,1996,3,31,-7.8,,-10.2,,-5.4,,3.8,E,0,,3.8,E,,M,,,,,0,,25.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.1,1996-04-01 00:00:00,AB,1996,4,1,-6.8,,-8.4,,-5.1,,1.3,E,0,,1.3,E,1,E,,,,,0,,24.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.2,1996-04-02 00:00:00,AB,1996,4,2,-6.9,,-10,,-3.7,,2,E,0,,2,E,2,,,,,,0,,24.9,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.3,1996-04-03 00:00:00,AB,1996,4,3,-4,,-12.7,,4.8,,2,E,0,,2,E,1,,,,,,0,,22,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.4,1996-04-04 00:00:00,AB,1996,4,4,0.7,,-6.9,,8.3,,0,,0,,0,,0,,,,,,0,,17.3,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.5,1996-04-05 00:00:00,AB,1996,4,5,6.2,,-0.9,,13.2,,0,,0,,0,,0,,,,,,0,,11.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.6,1996-04-06 00:00:00,AB,1996,4,6,11,,3.8,,18.1,,0,,0,,0,,0,,,,,,0,,7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.7,1996-04-07 00:00:00,AB,1996,4,7,6.4,,-0.5,,13.3,,0,,0,,0,,0,,,,,,0,,11.6,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.8,1996-04-08 00:00:00,AB,1996,4,8,11.6,,4.5,,18.7,,0,,0,,0,,0,,,,,,0,,6.4,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.9,1996-04-09 00:00:00,AB,1996,4,9,6.3,,-0.1,,12.7,,0,,0,,0,,0,,,,,,0,,11.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.10,1996-04-10 00:00:00,AB,1996,4,10,0.6,,-2,,3.2,,5.4,E,0,,5.4,E,4,,,,,,0,,17.4,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.11,1996-04-11 00:00:00,AB,1996,4,11,2.6,,0,,5.2,,0,,0,,0,,1,E,,,,,0,,15.4,,,,,
